S.No.,configuration,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [2, 3, 4]","bg = [0, 1, 5, 6, 7, 8, 9]",30000,60.08,39.263333333333335,0.10333333333333333,0.5533333333333333,20823
56,fg = 3,"bg = 1,6,7",3086,48.3149708360337,50.907323395981855,0.06480881399870382,0.712896953985742,1934
57,fg = 3,"bg = 1,6,8",3124,49.9359795134443,49.263764404609475,0.06402048655569782,0.736235595390525,2040
58,fg = 3,"bg = 1,6,9",3109,50.17690575747829,49.211965262142165,0.0964940495336121,0.5146349308459311,2011
59,fg = 3,"bg = 1,7,8",3132,51.02171136653895,48.30779054916986,0.06385696040868455,0.6066411238825032,2056
60,fg = 3,"bg = 1,7,9",3111,50.916104146576664,48.47315975570556,0.1285760205721633,0.4821600771456123,2014
61,fg = 3,"bg = 1,8,9",3171,53.13781141595711,46.294544307789344,0.0946073793755913,0.47303689687795647,2143
62,fg = 3,"bg = 5,6,7",3170,45.89905362776025,53.2807570977918,0.0946372239747634,0.7255520504731862,1861
63,fg = 3,"bg = 5,6,8",3186,46.95543000627747,52.259887005649716,0.09416195856873823,0.6905210295040803,1916
64,fg = 3,"bg = 5,6,9",3201,47.61012183692596,51.64011246485473,0.12496094970321775,0.6248047485160887,1940
65,fg = 3,"bg = 5,7,8",3174,48.4247006931317,50.88216761184625,0.1260239445494644,0.5671077504725898,1934
66,fg = 3,"bg = 5,7,9",3189,48.38507369081217,50.89369708372531,0.15678896205707119,0.5644402634054563,1941
67,fg = 3,"bg = 5,8,9",3227,50.57328788348311,48.77595289742795,0.1549426712116517,0.4958165478772854,2038
68,fg = 3,"bg = 6,7,8",3105,48.051529790660226,51.30434782608695,0.0644122383252818,0.5797101449275363,1913
69,fg = 3,"bg = 6,7,9",3139,48.00892003822874,51.29021981522778,0.12742911755336095,0.5734310289901242,1943
70,fg = 3,"bg = 6,8,9",3157,50.110864745011085,49.31897370921761,0.12670256572695598,0.4434589800443459,2004
71,fg = 3,"bg = 7,8,9",3149,51.03207367418228,48.45982851698952,0.12702445220704986,0.38107335662114955,2029
