S.No.,configuration,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [3, 4, 5]","bg = [0, 1, 2, 6, 7, 8, 9]",30000,61.78333333333333,35.64333333333333,1.0133333333333334,1.56,17150
76,fg = 5,"bg = 0,1,9",3167,77.58130723081781,19.797916008841174,1.2630249447426587,1.3577518155983581,2356
77,fg = 5,"bg = 0,2,6",3238,74.11982705373687,23.13156269302038,1.2970969734403952,1.4515132798023471,2277
78,fg = 5,"bg = 0,2,7",3269,73.04986234322423,23.921688589782807,1.345977363107984,1.6824717038849801,2301
79,fg = 5,"bg = 0,2,8",3163,74.83401833702182,22.35219728106228,1.4543155232374327,1.3594688586784698,2270
80,fg = 5,"bg = 0,2,9",3280,74.54268292682927,22.74390243902439,1.3109756097560976,1.4024390243902438,2353
81,fg = 5,"bg = 0,6,7",3201,74.88284910965324,22.33676975945017,1.0621680724773508,1.7182130584192439,2277
82,fg = 5,"bg = 0,6,8",3118,76.23476587556125,20.814624759461193,1.3470173187940988,1.603592046183451,2276
83,fg = 5,"bg = 0,6,9",3168,76.48358585858585,20.612373737373737,1.3888888888888888,1.5151515151515151,2314
84,fg = 5,"bg = 0,7,8",3088,75.19430051813471,21.923575129533678,1.2305699481865284,1.6515544041450778,2257
85,fg = 5,"bg = 0,7,9",3161,75.26099335653274,21.89180639038279,1.1388801012337868,1.70832015185068,2291
86,fg = 5,"bg = 0,8,9",3112,77.31362467866325,19.89074550128535,1.4138817480719794,1.3817480719794344,2323
87,fg = 5,"bg = 1,2,6",3216,74.50248756218906,22.94776119402985,1.0883084577114428,1.4614427860696517,2281
88,fg = 5,"bg = 1,2,7",3182,74.51288497800125,22.65870521684475,1.3827781269641735,1.4456316781898177,2274
89,fg = 5,"bg = 1,2,8",3149,76.53223245474754,20.99079072721499,1.1114639568116862,1.3655128612257859,2296
90,fg = 5,"bg = 1,2,9",3195,75.24256651017214,22.47261345852895,1.0328638497652582,1.2519561815336464,2313
91,fg = 5,"bg = 1,6,7",3127,75.63159577870164,21.746082507195396,1.2472017908538535,1.3751199232491205,2247
92,fg = 5,"bg = 1,6,8",3129,77.05337168424417,20.421860019175455,1.0546500479386385,1.4701182486417386,2308
93,fg = 5,"bg = 1,6,9",3114,76.52536929993578,21.03403982016699,1.123956326268465,1.3166345536287734,2281
